# file...... ./glm_output/meter_14.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_325:measured_real_power,trip_node_meter_326:measured_real_power,trip_node_meter_327:measured_real_power,trip_node_meter_328:measured_real_power,trip_node_meter_329:measured_real_power,trip_node_meter_330:measured_real_power,trip_node_meter_331:measured_real_power,trip_node_meter_332:measured_real_power,trip_node_meter_333:measured_real_power,trip_node_meter_334:measured_real_power,trip_node_meter_335:measured_real_power,trip_node_meter_336:measured_real_power,trip_node_meter_337:measured_real_power,trip_node_meter_338:measured_real_power,trip_node_meter_339:measured_real_power,trip_node_meter_340:measured_real_power,trip_node_meter_341:measured_real_power,trip_node_meter_342:measured_real_power,trip_node_meter_343:measured_real_power,trip_node_meter_344:measured_real_power,trip_node_meter_345:measured_real_power,trip_node_meter_346:measured_real_power,trip_node_meter_347:measured_real_power,trip_node_meter_348:measured_real_power,trip_node_meter_349:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4481.4,+0,+0,+0
2021-12-25 00:02:00 UTC,+0,+4475.26,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4475.26,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4472.82,+0,+0,+0
2021-12-25 00:03:00 UTC,+0,+4466.54,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4466.54,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4464.1,+0,+0,+0
2021-12-25 00:04:00 UTC,+0,+4458.67,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4461.09,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4458.67,+0,+0,+0
2021-12-25 00:05:00 UTC,+0,+4454.69,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4457.12,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4454.69,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+4451.55,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4453.98,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4451.55,+0,+0,+0
2021-12-25 00:07:00 UTC,+0,+4451.45,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4451.45,+4451.45,+0,+0,+0,+0,+0,+0,+0,+0,+4451.45,+0,+0,+0
2021-12-25 00:08:00 UTC,+0,+4446.67,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4446.67,+4446.67,+0,+0,+0,+0,+0,+0,+0,+0,+4446.67,+0,+0,+0
2021-12-25 00:09:00 UTC,+0,+4446.81,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4449.23,+0,+0,+0,+0,+0,+0,+0,+0,+4446.81,+0,+0,+0
2021-12-25 00:10:00 UTC,+0,+4448.44,+0,+0,+0,+0,+0,+0,+0,+4450.87,+0,+0,+4450.87,+0,+0,+0,+0,+0,+0,+0,+0,+4448.44,+0,+0,+0
2021-12-25 00:11:00 UTC,+0,+4450.7,+0,+0,+0,+0,+0,+0,+0,+4453.12,+0,+0,+4453.12,+0,+0,+0,+0,+0,+0,+0,+0,+4450.7,+0,+0,+0
2021-12-25 00:12:00 UTC,+0,+4444.73,+0,+0,+0,+0,+0,+0,+0,+4447.15,+0,+0,+4447.15,+0,+0,+0,+0,+0,+0,+0,+0,+4444.73,+0,+0,+0
2021-12-25 00:13:00 UTC,+0,+4441.04,+0,+0,+0,+0,+0,+0,+0,+4443.46,+0,+0,+4443.46,+0,+0,+0,+0,+0,+0,+0,+0,+4441.04,+0,+0,+0
