# file...... ./glm_output/meter_39.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_950:measured_real_power,trip_node_meter_951:measured_real_power,trip_node_meter_952:measured_real_power,trip_node_meter_953:measured_real_power,trip_node_meter_954:measured_real_power,trip_node_meter_955:measured_real_power,trip_node_meter_956:measured_real_power,trip_node_meter_957:measured_real_power,trip_node_meter_958:measured_real_power,trip_node_meter_959:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:03:00 UTC,+0,+0,+0,+4450.69,+0,+0,+0,+0,+0,+0
2021-12-25 00:04:00 UTC,+0,+0,+0,+4445.46,+0,+0,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+0,+0,+0,+4438.36,+0,+0,+0,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+0,+0,+4428.56,+0,+0,+0,+0,+0,+0
2021-12-25 00:07:00 UTC,+0,+0,+0,+4426.11,+0,+0,+0,+0,+0,+0
2021-12-25 00:08:00 UTC,+0,+0,+0,+4414.43,+0,+0,+0,+0,+0,+0
2021-12-25 00:09:00 UTC,+0,+4408.77,+0,+4411.17,+0,+0,+0,+0,+0,+0
2021-12-25 00:10:00 UTC,+0,+4414.15,+0,+4414.15,+0,+0,+0,+0,+0,+0
2021-12-25 00:11:00 UTC,+0,+4424.05,+0,+4424.05,+0,+0,+0,+0,+0,+0
2021-12-25 00:12:00 UTC,+0,+4415.56,+0,+4417.96,+0,+0,+0,+0,+0,+0
2021-12-25 00:13:00 UTC,+0,+4409.45,+0,+4411.86,+0,+0,+0,+0,+0,+0
2021-12-25 00:14:00 UTC,+0,+4418.9,+0,+4423.71,+0,+0,+0,+0,+0,+0
2021-12-25 00:15:00 UTC,+0,+4411.78,+0,+4416.59,+0,+0,+0,+0,+0,+0
2021-12-25 00:16:00 UTC,+0,+4413.53,+0,+4418.34,+0,+0,+0,+0,+0,+0
2021-12-25 00:17:00 UTC,+0,+4425.79,+0,+4428.2,+0,+0,+0,+0,+0,+0
2021-12-25 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:21:00 UTC,+0,+4422.92,+4427.75,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:22:00 UTC,+0,+4427.42,+4429.84,+0,+0,+0,+4429.84,+0,+0,+0
2021-12-25 00:23:00 UTC,+0,+4429.5,+4431.92,+0,+0,+0,+4431.92,+0,+0,+0
2021-12-25 00:24:00 UTC,+0,+0,+4427.47,+0,+0,+0,+4427.47,+0,+0,+0
2021-12-25 00:25:00 UTC,+0,+0,+4405.81,+0,+0,+0,+4405.81,+0,+0,+0
2021-12-25 00:26:00 UTC,+0,+0,+4402.01,+0,+0,+0,+4402.01,+0,+0,+0
2021-12-25 00:27:00 UTC,+0,+0,+4398.01,+0,+4398.01,+0,+4398.01,+0,+0,+0
2021-12-25 00:28:00 UTC,+0,+0,+4394.6,+0,+4394.6,+0,+4394.6,+0,+0,+0
2021-12-25 00:29:00 UTC,+0,+0,+4397.37,+0,+4397.37,+0,+4397.37,+0,+0,+4397.37
2021-12-25 00:30:00 UTC,+0,+0,+4401.38,+0,+4401.38,+0,+4401.38,+0,+0,+4401.38
2021-12-25 00:31:00 UTC,+0,+0,+4411.18,+0,+4411.18,+0,+4411.18,+0,+0,+4411.18
